"id","code_revatua","name","property_cost_method","property_valuation"
"revatua_armateur.product.cat_autre","AUTRE","Autres marchandises générales","Prix standard","Manuel"
"revatua_armateur.product.cat_coprah","COPRAH","Coprah","Prix standard","Manuel"
"revatua_armateur.product.cat_espcubi","ESPCUBI","Essence et Pétrole en Autre contenant (cubitainer...)","Prix standard","Manuel"
"revatua_armateur.product.cat_espft","ESPFT","Essence et Pétrole en fut de 200 L","Prix standard","Manuel"
"revatua_armateur.product.cat_esptq","ESPTQ","Essence et Pétrole en touque de 20 L","Prix standard","Manuel"
"revatua_armateur.product.cat_esspt","ESSPT","Essence ou pétrole en touque, fût ou container (non utilisé)","Prix standard","Manuel"
"revatua_armateur.product.cat_frigo","FRIGO","Produit en frigo","Prix standard","Manuel"
"revatua_armateur.product.cat_frigodgae","FRIGODGAE","Produit en frigo pris en charge","Prix standard","Manuel"
"revatua_armateur.product.cat_futvide","FUTVIDE","Fut ou container vide hydrocarbures en retour","Prix standard","Manuel"
"revatua_armateur.product.cat_gazb","GAZB","Bouteilles de gaz (non utilisé)","Prix standard","Manuel"
"revatua_armateur.product.cat_gazbtl13","GAZBTL13","Bouteille de gaz de 13 kg (ou inférieure à 50 kg), pleine ou vide","Prix standard","Manuel"
"revatua_armateur.product.cat_gazbtl50","GAZBTL50","Bouteille de gaz de 50 kg ou plus, pleine ou vide","Prix standard","Manuel"
"revatua_armateur.product.cat_gazcamion","GAZCAMION","Gaz en camion citerne","Prix standard","Manuel"
"revatua_armateur.product.cat_gazcubi","GAZCUBI","Gaz transporté dans un Autre conteneur (cubitainer)","Prix standard","Manuel"
"revatua_armateur.product.cat_gazole","GAZOLE","Gazoles (vrac ou conditionné)","Prix standard","Manuel"
"revatua_armateur.product.cat_hydrociterne","HYDROCITERNE","Gazole ou essence en camion citerne","Prix standard","Manuel"
"revatua_armateur.product.cat_mc","MC","Matériaux de construction","Prix standard","Manuel"
"revatua_armateur.product.cat_mcdgae","MCDGAE","Matériaux de construction pris en charge","Prix standard","Manuel"
"revatua_armateur.product.cat_pgc","PGC","Produits de grande consommation","Prix standard","Manuel"
"revatua_armateur.product.cat_ppiles","PPILES","Productions en provenance des îles hors coprah","Prix standard","Manuel"
"revatua_armateur.product.cat_ppn","PPN","Produits de première nécessité pris en charge","Prix standard","Manuel"
