"id","pricelist_id/id","categ_id/id","ile1_id/id","ile2_id/id","fixed_price","official_price","applied_on","date_start"
"fretlist0_item1","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_86","l10n_pf_islands.state_pf_44",60950,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item2","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_85","l10n_pf_islands.state_pf_44",60950,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item3","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_108","l10n_pf_islands.state_pf_44",60950,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item4","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_84","l10n_pf_islands.state_pf_44",60950,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item5","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_82","l10n_pf_islands.state_pf_44",60950,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item6","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_81","l10n_pf_islands.state_pf_44",60950,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item7","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_97","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item8","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_55","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item9","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_52","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item10","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_102","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item11","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_49","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item12","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_38","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item13","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_32","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item14","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_69","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
"fretlist0_item15","revatua_armateur.fretlist0","revatua_armateur.product_cat_frigodgae","l10n_pf_islands.state_pf_30","l10n_pf_islands.state_pf_44",60050,1,"2_product_category",2019-01-01 10:00:00
